전철역코드,전철역명,X좌표,Y좌표
150,서울역,1965,1690
1908,녹양,3214,183
1906,의정부,3110,288
158,청량리,2750,1150
1905,회룡,3056,340
1018,석계,2811,865
1901,방학,2853,544
1903,도봉산,2937,455
1816,간석,373,2718
1913,동두천중앙,3437,49
1916,소요산,3638,49
157,제기동,2635,1130
1005,대방,1709,2400
1918,전곡,3769,49
1815,부개,510,2575
1802,오류동,1070,2575
1705,관악,1340,3060
1801,개봉,1130,2575
1750,광명,1162,2880
1902,도봉,2893,505
156,신설동,2518,1135
1907,가능,3182,214
1917,청산,3701,49
247,도림천,1180,2430
241,이대,1390,1560
240,신촌,1338,1638
239,홍대입구,1285,1730
232,구로디지털단지,1499,2735
250,용두,2648,1285
206,신당,2379,1309
221,역삼,2498,2799
220,선릉,2573,2760
218,종합운동장,2780,2497
216,잠실,2868,2268
212,건대입구,2859,1921
238,합정,1224,1876
209,한양대,2731,1618
200,까치산,934,2060
213,구의,2867,1998
235,문래,1285,2447
215,잠실나루,2870,2201
219,삼성,2686,2626
242,아현,1477,1468
231,신대방,1560,2786
236,영등포구청,1245,2360
248,양천구청,1098,2352
204,을지로4가,2033,1242
210,뚝섬,2778,1698
245,신답,2793,1435
214,강변,2870,2075
237,당산,1200,2085
202,을지로입구,1772,1295
229,봉천,1700,2865
243,충정로,1585,1381
217,잠실새내,2824,2376
233,대림,1429,2680
228,서울대입구,1786,2900
208,왕십리,2639,1495
249,신정네거리,968,2218
227,낙성대,1902,2926
225,방배,2136,2932
230,신림,1617,2835
224,서초,2212,2918
244,용답,2951,1646
203,을지로3가,1876,1260
211,성수,2815,1792
207,상왕십리,2503,1393
223,교대,2293,2909
222,강남,2416,2860
327,신사,2293,2263
339,수서,2952,3020
334,도곡,2573,3010
332,양재,2416,3010
1761,정왕,857,3615
1762,오이도,738,3615
1755,한대앞,1468,3615
1760,신길온천,977,3615
1758,초지,1167,3615
1757,고잔,1275,3615
1759,안산,1079,3615
1756,중앙,1370,3615
2649,신내,3309,986
2722,상봉,3077,1079
2732,강남구청,2573,2225
2734,논현,2416,2390
2827,모란,3213,3195
2821,복정,3207,2995
4125,신논현,2416,2508
4127,선정릉,2573,2508
10,구성,2899,3624
1501,판교,3082,3306
1504,경기광주,3462,3305
1508,이천,3745,3564
1506,곤지암,3614,3430
1511,여주,3939,3760
1509,부발,3811,3630
1507,신둔도예촌,3685,3507
1505,초월,3546,3364
1510,세종대왕릉,3874,3693
1503,삼동,3355,3306
1502,이매,3216,3306
1203,망우,3229,1070
1201,중랑,2963,1070
1321,청평,3889,776
1326,강촌,3889,511
1318,천마산,3856,950
1324,굴봉산,3889,617
1327,김유정,3889,458
1314,퇴계원,3566,950
1319,마석,3889,882
1320,대성리,3889,829
1328,남춘천,3889,405
1316,금곡,3706,950
1329,춘천,3889,352
1317,평내호평,3777,950
1313,별내,3482,950
1312,갈매,3415,950
1315,사릉,3636,950
1323,가평,3889,670
1325,백양리,3889,564
1322,상천,3889,723
1028,대모산입구,2838,3103
1847,서울숲,2573,1922
1854,야탑,3208,3254
1883,남동인더스파크,672,3335
1888,인하대,374,3268
1889,숭의,374,3218
1868,영통,2448,3624
1027,개포동,2726,3103
1877,사리,1548,3624
1026,구룡,2605,3103
1024,한티,2573,2862
1885,연수,475,3310
1859,오리,3091,3567
1862,죽전,3053,3624
1884,원인재,555,3310
1881,인천논현,672,3429
1876,야목,1623,3624
1858,미금,3082,3496
1856,수내,3128,3377
1866,상갈,2645,3624
1879,월곶,672,3524
1880,소래포구,672,3477
1878,달월,672,3572
1875,어천,1693,3624
1873,고색,1836,3624
1872,매교,2049,3624
1871,수원시청,2148,3624
1870,매탄권선,2248,3624
1869,망포,2348,3624
1867,청명,2548,3624
1864,신갈,2819,3624
1861,보정,2978,3624
1852,태평,3208,3135
1865,기흥,2741,3635
1874,오목천,1766,3624
1882,호구포,672,3385
1886,송도,406,3310
1890,신포,374,3168
1857,정자,3082,3436
1855,서현,3164,3341
1851,가천대,3208,3076
1848,압구정로데오,2573,2075
4315,수지구청,2850,3514
4309,양재시민의숲,2469,3126
4310,청계산입구,2557,3211
4314,동천,2981,3514
4316,성복,2718,3514
4317,상현,2590,3514
4318,광교중앙,2459,3514
